Macroarea,Settore,Gender Gap 2012,Gender Gap 2017,Variazione Gender Gap in Macroaree,Variazione Italia,Differenza Italia
Sud,ISTRUZIONE,-41.78,-33.8,7.98,3.96,4.0200000000000005
Isole,ISTRUZIONE,-39.14,-33.18,5.96,3.96,2.0
Sud,ATTIVITÀ EDITORIALI,22.8,26.38,3.58,-2.08,5.66
Centro,ISTRUZIONE,-36.78,-33.62,3.16,3.96,-0.7999999999999998
Nord-ovest,ISTRUZIONE,-27.28,-24.5,2.78,3.96,-1.1800000000000002
Isole,ATTIVITÀ IMMOBILIARI,22.4,24.38,1.98,-1.12,3.1
Nord-ovest,ATTIVITÀ EDITORIALI,-5.24,-3.8,1.44,-2.08,3.52
Sud,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,81.92,82.98,1.06,-3.98,5.04
Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,14.16,14.92,0.76,-2.76,3.5199999999999996
Nord-est,ISTRUZIONE,-15.06,-14.6,0.46,3.96,-3.5
Isole,SANITÀ E ASSISTENZA SOCIALE,-26.18,-25.94,0.24,-0.7,0.94
Centro,RICERCA SCIENTIFICA E SVILUPPO,15.62,15.74,0.12,-2.76,2.88
Centro,ATTIVITÀ LEGALI E CONTABILITÀ,-9.12,-9.38,-0.26,-0.84,0.58
Nord-est,SANITÀ E ASSISTENZA SOCIALE,-43.9,-44.26,-0.36,-0.7,0.33999999999999997
Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,-42.06,-42.48,-0.42,-0.7,0.27999999999999997
Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,-21.54,-22.0,-0.46,-0.84,0.37999999999999995
Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,76.9,76.38,-0.52,-3.98,3.46
Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,-24.54,-25.12,-0.58,-0.84,0.26
Centro,SANITÀ E ASSISTENZA SOCIALE,-33.96,-34.62,-0.66,-0.7,0.039999999999999925
Nord-est,ATTIVITÀ IMMOBILIARI,22.7,21.9,-0.8,-1.12,0.32000000000000006
Nord-ovest,ATTIVITÀ IMMOBILIARI,19.12,18.22,-0.9,-1.12,0.22000000000000008
Isole,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,85.2,83.84,-1.36,-3.98,2.62
Centro,ATTIVITÀ IMMOBILIARI,19.62,18.06,-1.56,-1.12,-0.43999999999999995
Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,75.12,73.28,-1.84,-3.98,2.1399999999999997
Sud,SANITÀ E ASSISTENZA SOCIALE,-19.5,-22.2,-2.7,-0.7,-2.0
Sud,ATTIVITÀ LEGALI E CONTABILITÀ,19.52,16.66,-2.86,-0.84,-2.02
Isole,ATTIVITÀ LEGALI E CONTABILITÀ,8.28,5.36,-2.92,-0.84,-2.08
Nord-est,RICERCA SCIENTIFICA E SVILUPPO,22.4,18.42,-3.98,-2.76,-1.2200000000000002
Centro,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,57.72,53.36,-4.36,-3.98,-0.38000000000000034
Nord-est,ATTIVITÀ EDITORIALI,8.6,4.22,-4.38,-2.08,-2.3
Sud,ATTIVITÀ IMMOBILIARI,27.74,23.34,-4.4,-1.12,-3.2800000000000002
Isole,ATTIVITÀ EDITORIALI,34.7,29.18,-5.52,-2.08,-3.4399999999999995
Centro,ATTIVITÀ EDITORIALI,9.6,1.6,-8.0,-2.08,-5.92
Sud,RICERCA SCIENTIFICA E SVILUPPO,26.34,15.96,-10.38,-2.76,-7.620000000000001
Isole,RICERCA SCIENTIFICA E SVILUPPO,20.3,2.12,-18.18,-2.76,-15.42
